Code:	WP 300.20

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 18.11.2019	Time: 16:37:40

Name:	stress strain poly
User Comment:	

Data Start
t Time Index	l Distance	F Force	EPS Strain	R	TEST Test	
h:min:s	mm	KN	%	N/mm^2		
16:31:37.2	2.1006	0.6655	7.0021	35.4907	1.0000
16:32:14.2	2.1006	0.9592	7.0021	51.1578	1.0000
16:29:58.3	2.1128	1.2350	7.0428	65.8657	1.0000
16:32:15.2	2.1128	0.9772	7.0428	52.1170	1.0000
16:31:35.2	2.1251	0.6714	7.0835	35.8105	1.0000
16:31:36.2	2.1251	0.6655	7.0835	35.4907	1.0000
16:29:59.3	2.1373	1.2350	7.1242	65.8657	1.0000
16:32:16.2	2.1373	0.9892	7.1242	52.7565	1.0000
16:30:00.3	2.1495	1.2350	7.1650	65.8657	1.0000
16:30:01.3	2.1495	1.2410	7.1650	66.1854	1.0000
16:31:34.2	2.1495	0.6894	7.1650	36.7697	1.0000
16:32:17.2	2.1495	0.9952	7.1650	53.0762	1.0000
16:32:18.2	2.1495	1.0012	7.1650	53.3959	1.0000
16:32:19.2	2.1617	1.0072	7.2057	53.7157	1.0000
16:30:02.3	2.1739	1.2530	7.2464	66.8249	1.0000
16:31:33.2	2.1739	0.6954	7.2464	37.0894	1.0000
16:32:20.2	2.1739	1.0311	7.2464	54.9946	1.0000
16:30:03.3	2.1983	1.2650	7.3278	67.4643	1.0000
16:31:32.2	2.1983	0.7074	7.3278	37.7289	1.0000
16:32:21.2	2.1983	1.0371	7.3278	55.3144	1.0000
16:31:30.2	2.2106	0.7134	7.3685	38.0486	1.0000
16:31:31.2	2.2106	0.7074	7.3685	37.7289	1.0000
16:32:22.2	2.2106	1.0491	7.3685	55.9538	1.0000
16:30:04.3	2.2228	1.2590	7.4092	67.1446	1.0000
16:30:05.3	2.2228	1.2710	7.4092	67.7841	1.0000
16:31:29.2	2.2228	0.7194	7.4092	38.3683	1.0000
16:32:23.2	2.2228	1.0611	7.4092	56.5933	1.0000
16:30:06.3	2.2350	1.2769	7.4499	68.1038	1.0000
16:32:24.2	2.2350	1.0731	7.4499	57.2328	1.0000
16:31:28.2	2.2472	0.7374	7.4906	39.3276	1.0000
16:32:25.2	2.2472	1.0791	7.4906	57.5525	1.0000
16:31:27.3	2.2716	0.7494	7.5721	39.9670	1.0000
16:32:26.2	2.2716	1.0851	7.5721	57.8723	1.0000
16:30:07.3	2.2838	1.2949	7.6128	69.0630	1.0000
16:31:26.3	2.2838	0.7494	7.6128	39.9670	1.0000
16:32:27.2	2.2838	1.0911	7.6128	58.1920	1.0000
16:32:28.2	2.2960	1.0971	7.6535	58.5117	1.0000
16:30:08.3	2.3083	1.2949	7.6942	69.0630	1.0000
16:31:25.3	2.3083	0.7734	7.6942	41.2460	1.0000
16:32:29.2	2.3083	1.1091	7.6942	59.1512	1.0000
16:30:09.3	2.3205	1.2949	7.7349	69.0630	1.0000
16:31:24.3	2.3205	0.7734	7.7349	41.2460	1.0000
16:32:30.2	2.3327	1.1091	7.7756	59.1512	1.0000
16:30:10.3	2.3449	1.2889	7.8163	68.7433	1.0000
16:31:23.3	2.3449	0.7854	7.8163	41.8854	1.0000
16:30:11.3	2.3571	1.3069	7.8570	69.7025	1.0000
16:31:22.3	2.3571	0.7913	7.8570	42.2052	1.0000
16:32:31.2	2.3571	1.1331	7.8570	60.4301	1.0000
16:31:21.3	2.3693	0.8033	7.8977	42.8447	1.0000
16:30:12.3	2.3815	1.3189	7.9384	70.3420	1.0000
16:32:32.2	2.3815	1.1391	7.9384	60.7499	1.0000
16:30:13.3	2.3937	1.3189	7.9792	70.3420	1.0000
16:31:20.3	2.3937	0.8153	7.9792	43.4841	1.0000
16:30:14.3	2.4060	1.3249	8.0199	70.6617	1.0000
16:31:19.3	2.4060	0.8273	8.0199	44.1236	1.0000
16:32:34.2	2.4060	1.1630	8.0199	62.0288	1.0000
16:30:15.3	2.4182	1.3369	8.0606	71.3012	1.0000
16:31:18.3	2.4182	0.8393	8.0606	44.7631	1.0000
16:32:33.2	2.4182	1.1511	8.0606	61.3894	1.0000
16:31:17.3	2.4304	0.8393	8.1013	44.7631	1.0000
16:32:35.2	2.4304	1.1630	8.1013	62.0288	1.0000
16:30:16.3	2.4426	1.3369	8.1420	71.3012	1.0000
16:31:16.3	2.4426	0.8573	8.1420	45.7223	1.0000
16:30:17.3	2.4548	1.3429	8.1827	71.6209	1.0000
16:32:36.2	2.4548	1.1750	8.1827	62.6683	1.0000
16:31:15.3	2.4670	0.8513	8.2234	45.4025	1.0000
16:32:37.2	2.4670	1.1870	8.2234	63.3078	1.0000
16:31:13.3	2.4792	0.8693	8.2641	46.3617	1.0000
16:31:14.3	2.4792	0.8513	8.2641	45.4025	1.0000
16:32:38.2	2.4792	1.1930	8.2641	63.6275	1.0000
16:30:18.3	2.4915	1.3429	8.3048	71.6209	1.0000
16:30:19.3	2.4915	1.3489	8.3048	71.9406	1.0000
16:31:12.3	2.4915	0.8933	8.3048	47.6407	1.0000
16:32:39.2	2.4915	1.1990	8.3048	63.9472	1.0000
16:32:40.2	2.5037	1.2170	8.3455	64.9064	1.0000
16:30:20.3	2.5159	1.3609	8.3863	72.5801	1.0000
16:31:11.3	2.5159	0.8873	8.3863	47.3210	1.0000
16:30:21.3	2.5281	1.3789	8.4270	73.5393	1.0000
16:31:10.3	2.5281	0.8933	8.4270	47.6407	1.0000
16:30:22.3	2.5403	1.3669	8.4677	72.8999	1.0000
16:32:41.2	2.5403	1.2290	8.4677	65.5459	1.0000
16:31:09.3	2.5525	0.9112	8.5084	48.5999	1.0000
16:30:23.3	2.5647	1.3789	8.5491	73.5393	1.0000
16:31:08.3	2.5647	0.9292	8.5491	49.5591	1.0000
16:32:42.2	2.5647	1.2350	8.5491	65.8657	1.0000
16:32:43.2	2.5769	1.2530	8.5898	66.8249	1.0000
16:30:24.3	2.5892	1.3789	8.6305	73.5393	1.0000
16:31:07.3	2.5892	0.9352	8.6305	49.8788	1.0000
16:30:25.3	2.6014	1.3789	8.6712	73.5393	1.0000
16:31:06.3	2.6014	0.9652	8.6712	51.4775	1.0000
16:32:44.2	2.6014	1.2530	8.6712	66.8249	1.0000
16:30:26.3	2.6136	1.3849	8.7119	73.8591	1.0000
16:31:05.3	2.6136	0.9772	8.7119	52.1170	1.0000
16:32:45.2	2.6136	1.2590	8.7119	67.1446	1.0000
16:31:04.3	2.6258	0.9892	8.7526	52.7565	1.0000
16:32:46.2	2.6258	1.2650	8.7526	67.4643	1.0000
16:32:47.2	2.6258	1.2710	8.7526	67.7841	1.0000
16:30:27.3	2.6380	1.3849	8.7934	73.8591	1.0000
16:30:28.3	2.6380	1.3909	8.7934	74.1788	1.0000
16:31:03.3	2.6380	1.0012	8.7934	53.3959	1.0000
16:31:02.3	2.6502	1.0072	8.8341	53.7157	1.0000
16:30:29.3	2.6624	1.3909	8.8748	74.1788	1.0000
16:32:48.2	2.6624	1.2769	8.8748	68.1038	1.0000
16:30:30.3	2.6746	1.3968	8.9155	74.4985	1.0000
16:31:01.3	2.6746	1.0371	8.9155	55.3144	1.0000
16:30:31.3	2.6869	1.3909	8.9562	74.1788	1.0000
16:32:49.2	2.6869	1.2889	8.9562	68.7433	1.0000
16:32:50.2	2.6869	1.3069	8.9562	69.7025	1.0000
16:30:32.3	2.6991	1.3909	8.9969	74.1788	1.0000
16:30:33.3	2.7113	1.3909	9.0376	74.1788	1.0000
16:30:59.3	2.7113	1.0671	9.0376	56.9130	1.0000
16:31:00.3	2.7113	1.0431	9.0376	55.6341	1.0000
16:32:51.2	2.7113	1.3129	9.0376	70.0222	1.0000
16:32:52.2	2.7113	1.3189	9.0376	70.3420	1.0000
16:30:34.3	2.7235	1.3968	9.0783	74.4985	1.0000
16:30:35.3	2.7235	1.3968	9.0783	74.4985	1.0000
16:30:58.3	2.7235	1.0851	9.0783	57.8723	1.0000
16:30:36.3	2.7357	1.4028	9.1190	74.8183	1.0000
16:30:57.3	2.7357	1.0911	9.1190	58.1920	1.0000
16:32:53.2	2.7357	1.3249	9.1190	70.6617	1.0000
16:30:37.3	2.7479	1.3909	9.1597	74.1788	1.0000
